Autor;Título;REVISTA;Volume;Number;Pages;ANO;Tipo;QUALIS DA REVISTA;Usuário Impressora 3D;Metodologia Utilizada;Etapa, disciplina e currículo;Cultura Maker e Ensino STEAM;Observações;Criação do design;INSTITUIÇÃO
"SILVA, Pedro Henrique Moreno da; ";Impressão 3D como uma metodologia no ensino de quádricas: relato de experiência.;;;;;2023;;;;;;;;;Universidade Federal de Campina Grande
"Funes, Gautama Moglié; ";Explorando o potencial da impressão 3d na educação: um protocolo guiado para produção de bicamadas lipídicas;;;;;2023;;;;;;;;;Florianópolis, SC.
"Rocha, Erlifas Moreira; Conrado, Gutemberg; ";Ciência 3D impressa: Oficina de Física;;;;;2023;;;;;;;;;
"Yahiro, Davi Shunji; Abrantes, Juliana Cadilho da Silva; Magliano, D; Mesquita, Claudio Tinoco; ";Criação de Modelos Embriológicos Cardíacos para Impressão 3D para Ensino de Anatomia e Embriologia;Arquivos Brasileiros de Cardiologia;120;;e20220632;2023;;;;;;;;;SciELO Brasil
"Oliveira, Antonio Darges Ibiapina; ";Modelagem e modelos para o ensino de química voltado às pessoas com deficiência visual: uma revisão da literatura;;;;;2023;;;;;;;;;Instituto Federal de Educação, Ciência e Tecnologia do Piauí
"Ribeiro, Araceli; Rangel, Amanda Almerindo; MOREIRA, DIEGO SUHET; RIBEIRO, JOSELITO NARDY; ";O CRESCIMENTO DE CRISTAIS: UMA PERSPECTIVA PARA O ENSINO DE QUÍMICA NO ENSINO MÉDIO A PARTIR DA EXPERIMENTAÇÃO;Revista Eletrônica Sala de Aula em Foco;12;1;59-73;2023;artigo;B2;;;;;;;
"Azambujo, Rosana Teodoro; ";PRÁXIS PEDAGÓGICA NO ENSINO DE CIÊNCIAS EM CONTEXTO PANDÊMICO COM SUPORTE NAS METODOLOGIAS ATIVAS E EDUCAÇÃO MAKER;;;;;2023;;;;;;;;;Instituto Federal Goiano
"Trombetoni, Hugo Henrique; Ribeiro, Maíra Fernanda; de Souza, Paola; Souto, Nilton Luiz; ";MANUFATURA ADITIVA E DESENVOLVIMENTO DE MODELO DIDÁTICO COMO APOIO NA ALFABETIZAÇÃO DA ESCRITA BRAILLE;15º JORNADA CIENTÍFICA E TECNOLÓGICA E 12 º SIMPÓSIO DE PÓS-GRADUAÇÃO DO IFSULDEMINAS;15;2;;2023;;;;;;;;;
"Góes, Anderson Roges Teixeira; Pinheiro, Poliana Batista; Coelho, José Ricardo Dolenga; Góes, Heliza Colaço; ";Anatomia Tátil 3D: material educativo inclusivo para o ensino e aprendizagem da anatomia humana;Human Factors in Design;12;24;083-093;;;;;;;;;;
"Rodrigues, Gabrielly AG; Teixeira, Lucas T; Wiltgen, Filipe; Duarte, Edson Anício; Teixeira, Bruno Eduardo; ";INOVAÇÃO SUSTENTÁVEL COM CAIXAS FEITAS EM IMPRESSÃO 3D PARA MEDICAMENTOS;;;;;;;;;;;;;;
