Autor	T≠tulo	REVISTA	Volume	Number	Pages	ANO	Tipo	QUALIS DA REVISTA	Usuˇrio Impressora 3D	Metodologia Utilizada	Etapa, disciplina e curr≠culo	Cultura Maker e Ensino STEAM	Observa?Ñes	Cria?ío do design	INSTITUI?ÄO
"SILVA, Pedro Henrique Moreno da; "	Impressío 3D como uma metodologia no ensino de quˇdricas: relato de experi?ncia.					2023									Universidade Federal de Campina Grande
"Funes, Gautama Mogli?; "	Explorando o potencial da impressío 3d na educa?ío: um protocolo guiado para produ?ío de bicamadas lip≠dicas					2023									FlorianΩpolis, SC.
"Rocha, Erlifas Moreira; Conrado, Gutemberg; "	Ci?ncia 3D impressa: Oficina de F≠sica					2023									
"Yahiro, Davi Shunji; Abrantes, Juliana Cadilho da Silva; Magliano, D; Mesquita, Claudio Tinoco; "	Cria?ío de Modelos EmbriolΩgicos Card≠acos para Impressío 3D para Ensino de Anatomia e Embriologia	Arquivos Brasileiros de Cardiologia	120		e20220632	2023									SciELO Brasil
"Oliveira, Antonio Darges Ibiapina; "	Modelagem e modelos para o ensino de qu≠mica voltado ?s pessoas com defici?ncia visual: uma revisío da literatura					2023									Instituto Federal de Educa?ío, Ci?ncia e Tecnologia do Piau≠
"Ribeiro, Araceli; Rangel, Amanda Almerindo; MOREIRA, DIEGO SUHET; RIBEIRO, JOSELITO NARDY; "	O CRESCIMENTO DE CRISTAIS: UMA PERSPECTIVA PARA O ENSINO DE QUôMICA NO ENSINO MêDIO A PARTIR DA EXPERIMENTA?ÄO	Revista Eletr?nica Sala de Aula em Foco	12	1	59-73	2023	artigo	B2							
"Azambujo, Rosana Teodoro; "	PRÊXIS PEDAGÖGICA NO ENSINO DE CI„NCIAS EM CONTEXTO PAND„MICO COM SUPORTE NAS METODOLOGIAS ATIVAS E EDUCA?ÄO MAKER					2023									Instituto Federal Goiano
"Trombetoni, Hugo Henrique; Ribeiro, Ma≠ra Fernanda; de Souza, Paola; Souto, Nilton Luiz; "	MANUFATURA ADITIVA E DESENVOLVIMENTO DE MODELO DIDÊTICO COMO APOIO NA ALFABETIZA?ÄO DA ESCRITA BRAILLE	15ı JORNADA CIENTôFICA E TECNOLÖGICA E 12 ı SIMPÖSIO DE PÖS-GRADUA?ÄO DO IFSULDEMINAS	15	2		2023									
"GΩes, Anderson Roges Teixeira; Pinheiro, Poliana Batista; Coelho, Jos? Ricardo Dolenga; GΩes, Heliza Cola?o; "	Anatomia Tˇtil 3D: material educativo inclusivo para o ensino e aprendizagem da anatomia humana	Human Factors in Design	12	24	083-093										
"Rodrigues, Gabrielly AG; Teixeira, Lucas T; Wiltgen, Filipe; Duarte, Edson An≠cio; Teixeira, Bruno Eduardo; "	INOVA?ÄO SUSTENTÊVEL COM CAIXAS FEITAS EM IMPRESSÄO 3D PARA MEDICAMENTOS														
"Jorge, Camila Silva Pereira; Araújo, Mˇrcio Lu≠s Valen?a; Júnior, An≠bal de Freitas Santos; "	MODELO HôBRIDO DE APRENDIZAGEM NAS ESCOLAS: ASPECTOS RELACIONADOS AOS COMPONENTES CURRICULARES DE CI„NCIAS BIOLÖGICAS	Anais do Seminˇrio Tecnologias Aplicadas a Educa?ío e Saúde			71-80	2023									
"Farias, Jos? Lucas; "	A inclusío da cultura maker no ensino m?dio como ferramenta didˇtica					2023									Instituto Federal de Educa?ío Ci?ncia e Tecnologia de Alagoas
"Junior, Natal Anacleto Chicca; Castillo, Leonardo Gomez; "	Os desafios em utilizar a impressío 3D no processo ensino-aprendizagem de design	RENOTE	16	1		2018	artigo	A4 							
"Mendon?a, Suzielli Martins; Conrado, Gutemberg; Centenaro, Enzo Filippo; Bertoncelli, Leonardo; Bertti, Caroline Vanessa Bauman; "	Desenvolvimento de experimentos didˇticos utilizado a tecnologia de impressío 3D					2023									
"da Silva, Jailson Rodrigues; Florindo, Girlane; Machado, Veruska; "	Tecnologia 3D: Ferramenta para o ensino de Artes Visuais para pessoas com defici?ncia visual	Brazilian Symposium on Computers in Education (SimpΩsio Brasileiro de Informˇtica na Educa?ío-SBIE)	28	1	1772	2017									
"Lacerda, Janiny Nunes; "	A impressío 3D como estrat?gia de ensino e aprendizagem em qu≠mica na educa?ío bˇsica					2017									
"da Fraga Gon?alves, Hanna Aim?e; Medeiros, êrika Medina; de Sousa, Gustavo Mota; Lima, Delson; "	CONSTRU?ÄO DE MATERIAIS DIDÊTICOS PARA O ENSINO DE CARTOGRAFIA E GEOMORFOLOGIA ATRAVêS DA IMPRESSÄO 3D														
"da Silva, D?bora Bin; Lieban, Diego Eduardo; Fitarelli, Sarah; Reginato, Maria Júlia; Farias, Juan Alexandre Pereira; "	IMPRESSÄO 3D DE MATERIAIS DIDÊTICOS MODELADOS EM SOFTWARES DIGITAIS	5ı SALÄO DE PESQUISA, EXTENSÄO E ENSINO DO IFRS				2020									
"Neto, Antonio Virg≠nio Martins; Nascimento, Carlos Jos? Sabino; Santos, Jarles Tarsso Gomes; Viana, Flˇvia Roldan; Fonseca, G?ssica Fabiely; "	Impressío 3D e o Ensino de Geografia para aluna com Defici?ncia Visual	Revista de Casos e Consultoria	11	1	e11115-e11115	2020	artigo	B4							
"Carneiro, Celso Dal R?; Gondek, Thassia Pine; Ferreira, R; Polly, D; Fontolan, LSB; Oliveira, M; Noritomi, P; "	Aplica?ío de maquetes f≠sicas tridimensionais da Bacia do Paranˇ no Ensino de Geoci?ncias	Congresso Brasileiro de Geologia de Engenharia e Ambiental	17			2022									
"de Andrade Batista, Rayane Luzia; Santos, Jarles Tarsso Gomes; "	O Uso do GeoGebra e Impressora 3D como Recurso Didˇtico para o Ensino da Geometria das Coordenadas	Anais do V Congresso sobre Tecnologias na Educa?ío			208-217	2020									SBC
"Barros, Heitor WS; Leite, Yasmim Pican?o; Nunes, Karlyana Madeira; Carvalho, Felipe Gato; "	Impressío 3D e conhecimento astron?mico como ferramenta de inicia?ío e divulga?ío da ci?ncia	Revista Interdisciplinar de Tecnologias na Educa?ío (RInTE)	8	1		2022	artigo								
"Evangelista, Fˇbio Lombardo; "	Materiais didˇticos para o ensino de f≠sica no n≠vel fundamental por meio de plataformas eletr?nicas	Revista do Professor de F≠sica	3	3	49-68	2019	artigo	C							
"Medeiros, Magno; da Silva, Marlon; de Oliveira, Daniella; dos Santos, Fˇbio; Rodrigues, Luanda K≠via; "	Influ?ncia da Densidade de Preenchimento e do Número de Per≠metros nas Propriedades Mecünicas de Pe?as Fabricadas em PLA a Partir de Impressío 3D	CALIBRE-Revista Brasiliense de Engenharia e F≠sica Aplicada	5		33-39	2020									
"VIEIRA, Eduardo Filipe Torres; MIRANDA, Phelipe Henrique Costa; "	Modelagem e impressío 3D de ferramentas didˇticas para o curso de Agronomia					2021									UFRA/Campus Bel?m
"Vieira, David Vernon; "	Inova?ío em bibliotecas: considera?Ñes sobre a disponibiliza?ío de servi?o de impressío 3D	Revista Brasileira de Biblioteconomia e Documenta?ío	13		1106-1120	2017	artigo	A3							
"Ventura, Flˇvio Cardoso; Lopes, Aparecida Maria Zem; de Menezes, Carlos Rezende; Favoni, C?lio; "	Uso remoto da impressío 3D no processo de ensino-aprendizagem para alunos de uma IES														
"Morandini, Mois?s Miranda; Del Vechio, Gustavo Henrique; "	IMPRESSÄO 3D, TIPOS E POSSIBILIDADES: uma revisío de suas caracter≠sticas, processos, usos e tend?ncias	Revista Interface TecnolΩgica	17	2	67-77	2020	artigo								
"Pires, Mylena Iasmim Figueiredo; Júnior, Airton Jos? Vinholi; "	Modelos Concretos em Impressío 3D como Materiais Inclusivos na Educa?ío Profissional e TecnolΩgica	Brazilian Journal of Development	6	12	104084-104097	2020									
"Alencar, VitΩria Mickelle Pereira de; "	Uso da Manufatura Aditiva para Produ?ío de Mapas Tˇteis: Uma combina?ío de Braille e Impressío 3D para identificar salas e espa?os f≠sicos do IFSertíoPE					2022									
"da Silva, Eloar Froboese; da Silva, Lucas Menin; Deon, Vin≠cius Gon?alves; Toso, Marcelo Andr?; "	Impressío 3D aplicada ? tecnologia assistiva	Revista Destaques Acad?micos	12	4		2020	artigo								
"BUHAGIAR, Marco Fernandes; "	Tecendo camadas: um estudo sobre o uso dom?stico da impressío 3D					2022									Universidade Federal de Pernambuco
"CARDOSO, Bressa Karolina Dias; PEREIRA, Gisele Carla Sousa; "	Modelagem e impressío de um sistema automatizado de cultivo indoor em impressora 3D.					2023									UFRA/Campus Bel?m
"Alves de Oliveira, C≠ntia Rochele; Corr?a Ferreira, Cristiano; da Silva de Lima Martins, Claudete; "	Modelo didˇtico para o ensino de Ci?ncias, constru?ío por meio de impressío 3D: anˇlise e avalia?ío no processo de ensino-aprendizagem	TE & ET				2022									
"de Lima Martins, Silva; "	Modelo didˇtico para o ensino de Ci?ncias, constru?ío por meio de impressío 3D: anˇlise e avalia?ío no processo de ensino-aprendizagem														
"Pacheco, Hualan Patr≠cio; Zibetti, Marli Lúcia Tonatto; "	O ENSINO DE ASTRONOMIA EM UM CURSO DE FORMA?ÄO DE PROFESSORES: O CASO DA SUPERFôCIE MARCIANA	Revista Latino-Americana de Educa?ío em Astronomia		33	107-121	2022	artigo								
"Figueiredo, Beatriz Beca; Cesar, Francisco Ignˇcio Giocondo; "	Um estudo da utiliza?ao da impressora 3D na Engenharia e na Medicina	RECISATEC-REVISTA CIENTôFICA SAÇDE E TECNOLOGIA-ISSN 2763-8405	2	1	e2170-e2170	2022									
"Garcia, Tha≠s Ribeiro; Macedo, Rafaela Melo; Vaz, Matheus Hernandes Vieira; Borges, Guilherme Henrique Iaccino; Zendron, Igor Mundim; Arruda, Jalsi Tacon; "	Impressío 3D de pe?as anat?micas como ferramentas de educa?ío e aux≠lio na prˇtica cl≠nica	Research, Society and Development	11	13	e248111335234-e248111335234	2022									
"Luz, Taciana Ramos; Huebner, Rudolf; Silva, Gabriel Vieira; Maia, Natˇlia Lara Mota; Fran?a, Êlvaro; Arrais, Crislaine Gomes; "	Desenvolvimento de recursos assistivos em impressora 3D para alunos universitˇrios com defici?ncia	Revista Doc?ncia do Ensino Superior	12		jan/26	2022	artigo	A3							
"Cavalcanti Júnior, Wellington TenΩrio; "	Impressío tridimensional de pe?as anat?micas para ensino dos aspectos morfofisiolΩgicos da embriologia na enfermagem					2022									Pesqueira
"Medeiros, Raiza De Sˇ; Gomes, Nicolas Azevedo; ACIOLY, THIAGO MACHADO DA SILVA; Viana, Diego Carvalho; "	DIGITALIZA?ÄO E IMPRESSÄO TRIDIMENSIONAL DE PE?AS ANATÉMICAS PARA ENSINO DE MEDICINA VETERINÊRIA	SAPIENS-Revista de divulga?ío Cient≠fica	5	1	75-89	2023									
"Tillmann, Ana; "	Impressío 3D e arte como aliadas no desenvolvimento cognitivo da crian?a com defici?ncia visual					2022									FlorianΩpolis, SC
"Carius, Ana Carolina; de Oliveira Baldner, Felipe; Maiworm, Andr? Probst; "	RobΩtica educacional no contexto do novo Ensino M?dio: uma aplica?ío de cΩdigo de aberto	Revista INTER EDUCA	5	3	15-26	2023	artigo								
